timestamp (ms),stateEstimate.x,stateEstimate.y,stateEstimate.z,motor.m1,motor.m2,motor.m3,motor.m4
37684,0.01947953924536705,0.251026451587677,0.4855482578277588,51827,52411,57009,50210
37694,0.019293352961540222,0.2517617344856262,0.4852639436721802,52773,51473,56665,51459
37704,0.020487407222390175,0.25332602858543396,0.4849717617034912,52920,51872,56196,51210
37714,0.020528776571154594,0.25329968333244324,0.4860900342464447,53737,52812,55678,50397
37724,0.020824017003178596,0.2526322603225708,0.4858664870262146,53580,52274,56044,51821
37734,0.02219451777637005,0.2550230622291565,0.48563119769096375,50499,50159,57359,53222
37745,0.02166113257408142,0.2569561302661896,0.48516568541526794,52117,51107,56904,51554
37754,0.021024629473686218,0.2574809789657593,0.485165536403656,51639,53160,56648,48959
37765,0.019381148740649223,0.25973764061927795,0.4862886369228363,48535,51104,57457,50455
37774,0.01903352327644825,0.26065686345100403,0.4861181676387787,51290,51415,56760,50566
37784,0.020929116755723953,0.26076585054397583,0.4859241843223572,49248,50615,57478,53640
37794,0.021913044154644012,0.2619491219520569,0.4857056438922882,50212,51801,57116,51271
37805,0.0218484029173851,0.26255330443382263,0.48734328150749207,50769,52766,56301,50830
37815,0.02176106534898281,0.2623668313026428,0.48717987537384033,52057,51887,56436,50586
37825,0.02324412763118744,0.26213955879211426,0.48699134588241577,54014,52847,55256,49927
37835,0.023917661979794502,0.26216867566108704,0.48677605390548706,53679,51916,56162,52291
37845,0.025690551847219467,0.26409056782722473,0.4865410029888153,53033,52214,55840,51491
37855,0.025345100089907646,0.26422470808029175,0.48659592866897583,53077,51577,55929,51813
37865,0.025327743962407112,0.2646915912628174,0.48637527227401733,51099,52371,56242,51091
37875,0.025303345173597336,0.26513054966926575,0.48615968227386475,51089,51686,56779,50705
37885,0.027063900604844093,0.26528385281562805,0.4859442710876465,51684,52286,56337,51018
37895,0.027513181790709496,0.26502829790115356,0.4858318567276001,49156,49650,57946,53795
37905,0.027510080486536026,0.26536092162132263,0.4855993986129761,49682,53136,57549,49004
37915,0.02668839693069458,0.2654908299446106,0.4853326976299286,51271,51103,56601,52597
37925,0.028533823788166046,0.2657943367958069,0.48501721024513245,53805,51942,55504,51849
37935,0.028508385643363,0.26601099967956543,0.48555585741996765,52694,53239,56147,51065
